method,beta,q,p_good,dq_dt,dp_good_dt,speed,pooled_regularizer_dq_dt,joint_regularizer_dq_dt,joint_correction_dq_dt,cosine_pooled_joint_regularizer,cosine_pooled_joint_defined
pooled_policy_logdet,0.1,0.5,0.55875,0.01715169270833332,0.022411806739654545,0.028221793778863868,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.976693587457752,True
pooled_policy_logdet,0.1,0.5,0.6174999999999999,0.02128255208333333,0.017666462131347663,0.02765955363736257,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9839042408213817,True
pooled_policy_logdet,0.1,0.5,0.67625,0.02541341145833334,0.011999378431549065,0.02810385320012317,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9883594454824048,True
pooled_policy_logdet,0.1,0.5,0.735,0.029544270833333337,0.006025547226562495,0.030152465213525843,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.991243175247925,True
pooled_policy_logdet,0.1,0.5,0.79375,0.03367513020833333,0.0005207894325256411,0.03367915699926639,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9931963571112107,True
pooled_policy_logdet,0.1,0.5,0.8525,0.037805989583333345,-0.003578244704589854,0.03797494810452062,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9945725414226528,True
pooled_policy_logdet,0.1,0.5,0.91125,0.04193684895833333,-0.005174075608978271,0.04225482645759519,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9955751592282598,True
pooled_policy_logdet,0.1,0.5,0.97,0.04606770833333334,-0.003008394374999996,0.046165833554703654,-0.02604166666666666,-0.05208333333333332,-0.026041666666666664,0.9963265437318818,True
pooled_policy_logdet,0.1,0.55875,0.03,-0.022716227131324804,0.0017930660671875,0.022786883529856302,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.991193788536119,True
pooled_policy_logdet,0.1,0.55875,0.08875,-0.018698643717223015,0.006790690942818831,0.019893535642125697,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9893189643611671,True
pooled_policy_logdet,0.1,0.55875,0.1475,-0.014681060303121222,0.01282298623451538,0.019492627005984923,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9878326175416443,True
pooled_policy_logdet,0.1,0.55875,0.20625,-0.010663476889019433,0.018932859166860574,0.021729309597749026,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9885263229894695,True
pooled_policy_logdet,0.1,0.55875,0.265,-0.0066458934749176355,0.024342943740527343,0.025233842553888462,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9938626615573563,True
pooled_policy_logdet,0.1,0.55875,0.32375,-0.0026283100608158476,0.028455600732278066,0.028576725263938303,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9998347688715522,True
pooled_policy_logdet,0.1,0.55875,0.38249999999999995,0.0013892733532859395,0.03085291769496459,0.030884180590431885,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9963161497702157,True
pooled_policy_logdet,0.1,0.55875,0.44125,0.005406856767387736,0.0312967089575283,0.031760322600302385,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9897050766518634,True
pooled_policy_logdet,0.1,0.55875,0.5,0.009424440181489531,0.029728515625,0.031186611133631425,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9876868272818844,True
pooled_policy_logdet,0.1,0.55875,0.55875,0.0134420235955913,0.026269605578499992,0.029508984658818592,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9887359939308256,True
pooled_policy_logdet,0.1,0.55875,0.6174999999999999,0.017459607009693102,0.021220973475238044,0.02748031281062283,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9905918647704285,True
pooled_policy_logdet,0.1,0.55875,0.67625,0.02147719042379491,0.015063340748513409,0.026233069645121065,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9923463307654594,True
pooled_policy_logdet,0.1,0.55875,0.735,0.0254947738378967,0.00845715560771484,0.026860881854820114,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9937833022390213,True
pooled_policy_logdet,0.1,0.55875,0.79375,0.029512357251998488,0.002242593038320547,0.029597439992423525,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9949104201299002,True
pooled_policy_logdet,0.1,0.55875,0.8525,0.033529940666100294,-0.00256044519810182,0.03362756013576793,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9957864706060868,True
pooled_policy_logdet,0.1,0.55875,0.91125,0.037547524080202066,-0.004752330563895035,0.037847076641953276,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9964702851364879,True
pooled_policy_logdet,0.1,0.55875,0.97,0.04156510749430387,-0.0029537077453124965,0.04166992381151848,-0.06571015703215059,-0.09008310492055935,-0.02437294788840875,0.9970091955680345,True
pooled_policy_logdet,0.1,0.6174999999999999,0.03,-0.02413800409746162,0.0018075765093749998,0.024205589739692737,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.9953774545445108,True
pooled_policy_logdet,0.1,0.6174999999999999,0.08875,-0.020450799842926706,0.007114737084459684,0.021653052856270335,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.9951815335060663,True
pooled_policy_logdet,0.1,0.6174999999999999,0.1475,-0.016763595588391793,0.013710582017370604,0.021656366184246954,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.9955486852991735,True
pooled_policy_logdet,0.1,0.6174999999999999,0.20625,-0.01307639133385688,0.020513398139476773,0.02432676537365493,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.9968021773548734,True
pooled_policy_logdet,0.1,0.6174999999999999,0.265,-0.009389187079321966,0.026640096504492186,0.028246266581252174,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.9987202702690873,True
pooled_policy_logdet,0.1,0.6174999999999999,0.32375,-0.005701982824787052,0.0314062123884758,0.031919630084388785,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.9999708626734772,True
pooled_policy_logdet,0.1,0.6174999999999999,0.38249999999999995,-0.00201477857025214,0.03432590528983153,0.03438498373787068,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.9992889991619769,True
pooled_policy_logdet,0.1,0.6174999999999999,0.44125,0.001672425684282772,0.035111958929308316,0.03515176620772963,-0.09914171052393253,-0.12069792672913442,-0.021556216205201893,0.997396936420368,True
