experiment,method,initialization,n,beta,metric,mean_paired_difference,ci_lower,ci_upper,n_pairs
main,detached_conditional_oracle,uniform,128,0.01,pi1_a0,-0.006740001830656978,-0.006761079944009465,-0.006718923717304491,20
main,complete_weighted_oracle,uniform,128,0.01,population_return,-0.012537659795023953,-0.012600249320430846,-0.01247507026961706,20
main,complete_weighted_oracle,uniform,128,0.01,q,-0.00907864983064081,-0.009163102039394428,-0.008994197621887193,20
main,complete_weighted_oracle,uniform,128,0.01,pi1_a0,-0.006753865327338732,-0.006774887732350299,-0.006732842922327165,20
main,uniform_action_oracle,uniform,128,0.01,population_return,-0.012513229854337138,-0.01257179198241925,-0.012454667726255026,20
main,uniform_action_oracle,uniform,128,0.01,q,-0.008817197647289826,-0.008895830524551503,-0.00873856477002815,20
main,uniform_action_oracle,uniform,128,0.01,pi1_a0,-0.006942182914191036,-0.006962590477964554,-0.006921775350417519,20
main,visitation_only_oracle,uniform,128,0.01,population_return,0.00025761378508606383,0.0002381801807218288,0.0002770473894502989,20
main,visitation_only_oracle,uniform,128,0.01,q,0.00024333576691912273,0.00022525895501606196,0.0002614125788221835,20
main,visitation_only_oracle,uniform,128,0.01,pi1_a0,0.00013102347841220107,0.00011970753070871821,0.00014233942611568395,20
main,full_pooled_fisher_oracle,uniform,128,0.01,population_return,-0.01226330775843965,-0.012324089267181619,-0.012202526249697683,20
main,full_pooled_fisher_oracle,uniform,128,0.01,q,-0.008557919067667324,-0.008637170333533228,-0.00847866780180142,20
main,full_pooled_fisher_oracle,uniform,128,0.01,pi1_a0,-0.006809650054320304,-0.006833167219403527,-0.006786132889237081,20
main,detached_conditional_sampled,uniform,128,0.01,population_return,-0.012453563639241327,-0.012514433787457228,-0.012392693491025427,20
main,detached_conditional_sampled,uniform,128,0.01,q,-0.008967315421321093,-0.0090495047777038,-0.008885126064938385,20
main,detached_conditional_sampled,uniform,128,0.01,pi1_a0,-0.00673918437166326,-0.006760177228315966,-0.006718191515010553,20
main,detached_conditional_oracle,uniform,128,0.1,population_return,-0.1798099456745374,-0.18036907175893244,-0.17925081959014236,20
main,detached_conditional_oracle,uniform,128,0.1,q,-0.15920194816241812,-0.16014740865444949,-0.15825648767038675,20
main,detached_conditional_oracle,uniform,128,0.1,pi1_a0,-0.1036025847294955,-0.1038048964737165,-0.1034002729852745,20
main,complete_weighted_oracle,uniform,128,0.1,population_return,-0.1843139547993947,-0.18495015373967993,-0.18367775585910945,20
main,complete_weighted_oracle,uniform,128,0.1,q,-0.16733061476254965,-0.16841842951383518,-0.16624280001126412,20
main,complete_weighted_oracle,uniform,128,0.1,pi1_a0,-0.10418151919831749,-0.10440002751383125,-0.10396301088280373,20
main,uniform_action_oracle,uniform,128,0.1,population_return,-0.18064179069204336,-0.18115459719474183,-0.1801289841893449,20
