initialization,switch_time,continuation,update,metric,mean,ci_lower,ci_upper
uniform,500,sampled,890,population_return,0.8607623507220393,0.860024913946226,0.8614997874978526
uniform,500,sampled,900,population_return,0.8646352713836337,0.8639216923585574,0.86534885040871
uniform,500,sampled,910,population_return,0.8682564371598772,0.867585042356079,0.8689278319636754
uniform,500,sampled,920,population_return,0.8717285614660405,0.8710819273828692,0.8723751955492118
uniform,500,sampled,930,population_return,0.8750885687097271,0.8744693927709898,0.8757077446484643
uniform,500,sampled,940,population_return,0.8782927205178842,0.8776929177980836,0.8788925232376849
uniform,500,sampled,950,population_return,0.8813444781938327,0.88075890193618,0.8819300544514853
uniform,500,sampled,960,population_return,0.884303039609027,0.8837392779316341,0.8848668012864199
uniform,500,sampled,970,population_return,0.8870680906771452,0.8865358944933368,0.8876002868609536
uniform,500,sampled,980,population_return,0.8897531131880781,0.8892453724511236,0.8902608539250327
uniform,500,sampled,990,population_return,0.8923259517605365,0.8918393017504697,0.8928126017706034
uniform,500,sampled,1000,population_return,0.8948108656490154,0.8943461764562586,0.8952755548417721
uniform,500,sampled,1010,population_return,0.8971689253136197,0.8967183473078227,0.8976195033194166
uniform,500,sampled,1020,population_return,0.899452526346447,0.8990184217218551,0.8998866309710389
uniform,500,sampled,1030,population_return,0.9016442748230233,0.9012273079252585,0.9020612417207882
uniform,500,sampled,1040,population_return,0.9037475033449361,0.9033450718592403,0.904149934830632
uniform,500,sampled,1050,population_return,0.9057608322183581,0.9053650397567722,0.9061566246799441
uniform,500,sampled,1060,population_return,0.9077413137033894,0.9073627832979795,0.9081198441087993
uniform,500,sampled,1070,population_return,0.90960014141291,0.90924209206432,0.9099581907615
uniform,500,sampled,1080,population_return,0.9113975344737446,0.911059491475875,0.9117355774716143
uniform,500,sampled,1090,population_return,0.9131517157410416,0.9128209516540391,0.9134824798280441
uniform,500,sampled,1100,population_return,0.9148553831825076,0.9145405859863304,0.9151701803786848
uniform,500,sampled,1110,population_return,0.916460490985627,0.9161520853632348,0.9167688966080192
uniform,500,sampled,1120,population_return,0.9180236981471808,0.9177262129812892,0.9183211833130723
uniform,500,sampled,1130,population_return,0.9195212816594275,0.9192347615037971,0.9198078018150578
uniform,500,sampled,1140,population_return,0.9209731904796122,0.9206986467355313,0.9212477342236932
uniform,500,sampled,1150,population_return,0.9223539290077176,0.9220856659970683,0.9226221920183669
uniform,500,sampled,1160,population_return,0.9237346207058132,0.9234762309766582,0.9239930104349683
uniform,500,sampled,1170,population_return,0.9250443797862187,0.9247901006774337,0.9252986588950036
uniform,500,sampled,1180,population_return,0.9263283172903866,0.9260812646809001,0.926575369899873
uniform,500,sampled,1190,population_return,0.9275763137617797,0.9273383080098535,0.927814319513706
uniform,500,sampled,1200,population_return,0.928774641215481,0.9285427443976562,0.9290065380333059
uniform,500,sampled,1210,population_return,0.9299280686140634,0.9297057147316379,0.9301504224964889
uniform,500,sampled,1220,population_return,0.9310720568878605,0.9308560416044687,0.9312880721712524
uniform,500,sampled,1230,population_return,0.9321718871556806,0.9319617077773429,0.9323820665340182
uniform,500,sampled,1240,population_return,0.9332434718007907,0.9330412152229328,0.9334457283786486
uniform,500,sampled,1250,population_return,0.9342800078653252,0.9340818992376991,0.9344781164929512
uniform,500,sampled,1260,population_return,0.9353068756482612,0.9351147105696174,0.935499040726905
uniform,500,sampled,1270,population_return,0.9362764158899024,0.9360897993284395,0.9364630324513653
uniform,500,sampled,1280,population_return,0.937223214183479,0.9370413495295,0.9374050788374579
uniform,500,sampled,1290,population_return,0.9381415767503003,0.9379648046111655,0.9383183488894351
uniform,500,sampled,1300,population_return,0.9390377098210031,0.9388623997073817,0.9392130199346245
uniform,500,sampled,1310,population_return,0.9399026784201605,0.9397306685307485,0.9400746883095725
uniform,500,sampled,1320,population_return,0.9407438303308715,0.9405768534930163,0.9409108071687267
uniform,500,sampled,1330,population_return,0.9415786022375792,0.9414181882659952,0.9417390162091631
uniform,500,sampled,1340,population_return,0.9423900085310774,0.9422331372129681,0.9425468798491866
uniform,500,sampled,1350,population_return,0.9431764122312681,0.9430217273406009,0.9433310971219354
uniform,500,sampled,1360,population_return,0.9439357821603969,0.9437845775170102,0.9440869868037836
uniform,500,sampled,1370,population_return,0.9446864237394977,0.9445398347966742,0.9448330126823212
uniform,500,sampled,1380,population_return,0.9454077447779441,0.9452634996596836,0.9455519898962046
uniform,500,sampled,1390,population_return,0.9461174415551414,0.94597524093461,0.9462596421756728
uniform,500,sampled,1400,population_return,0.9468119387608536,0.9466736334187821,0.946950244102925
