seed,method,learning_rate,beta,gamma,episodes_per_update,center_returns,normalize_returns,handoff_fraction,updates,evaluation_episodes,environment_steps,final_training_mean,stochastic_evaluation_mean,deterministic_evaluation_mean,mean_min_probability
104,reward_only,0.003,0.0,0.97,8,True,False,0.25,200,32,199273,-56.85193513299957,-41.55039812327496,-394.8182927754849,
104,reward_only,0.003,0.0,0.97,8,True,True,0.25,200,32,208975,-47.840833985744986,-56.07510776013501,-406.98730788194126,
104,log_barrier,0.003,2.0,0.97,8,True,True,0.05,200,32,257038,-40.33050756262709,-13.997927946502397,-343.3406732578804,0.18681537210941315
104,log_barrier,0.003,2.0,0.97,8,True,True,0.1,200,32,254836,-37.85863903323183,5.371465933857898,-212.70227299909405,0.1863434337079525
104,log_barrier,0.003,2.0,0.97,8,True,True,0.25,200,32,295523,-12.49612690928437,-7.4751092905282555,-384.5779362900255,0.18234692364931107
104,log_barrier,0.003,5.0,0.97,8,True,True,0.05,200,32,257305,-45.34967592313045,-7.375224008165521,-250.67406002111696,0.18754213601350783
104,log_barrier,0.003,5.0,0.97,8,True,True,0.1,200,32,254687,-22.40846338857166,-10.1110717570976,-253.4660522664889,0.18609279915690422
104,log_barrier,0.003,5.0,0.97,8,True,True,0.25,200,32,241803,-19.51370437139125,0.13502225417706892,-302.2294029110013,0.18318842276930808
104,log_barrier,0.003,10.0,0.97,8,True,True,0.05,200,32,258332,-21.038074602323306,17.584201705590647,-139.95069705390682,0.18995617777109147
104,log_barrier,0.003,10.0,0.97,8,True,True,0.1,200,32,274791,-23.608560423050427,-9.595875257888812,-282.6715022371824,0.19027704671025275
104,log_barrier,0.003,10.0,0.97,8,True,True,0.25,200,32,243469,-39.56778055636349,-20.605963881787726,-312.4034216128309,0.20062807202339172
104,log_barrier,0.003,20.0,0.97,8,True,True,0.05,200,32,234268,-24.866204458622043,-2.6719924843722884,-416.1587268964108,0.19305641055107117
104,log_barrier,0.003,20.0,0.97,8,True,True,0.1,200,32,272040,-19.80845195638576,5.315424940608972,-294.5331457040604,0.19854652285575866
104,log_barrier,0.003,20.0,0.97,8,True,True,0.25,200,32,296801,-11.453731006816417,13.872838208882216,-316.18961251264363,0.21963166147470475
104,log_barrier,0.003,40.0,0.97,8,True,True,0.05,200,32,285677,-9.632695965152877,9.653056677706203,-307.50787371489326,0.19430196434259414
104,log_barrier,0.003,40.0,0.97,8,True,True,0.1,200,32,264158,-21.87681857289898,-3.538413167113488,-259.07833649392705,0.20029883980751037
104,log_barrier,0.003,40.0,0.97,8,True,True,0.25,200,32,202964,-66.62089085624754,-35.54026763060843,-420.2318859868599,0.23564142659306525
104,log_barrier,0.003,100.0,0.97,8,True,True,0.1,200,32,214562,-69.96445187555021,-30.9455048079971,-450.64036380191766,0.21195321679115295
104,log_barrier,0.003,100.0,0.97,8,True,True,0.25,200,32,182477,-85.47648438220628,-51.28643483793469,-679.441741183563,0.2393021710216999
104,log_barrier,0.003,100.0,0.97,8,True,True,0.5,200,32,162038,-116.59713854795477,-87.02431043435598,-637.8686885601553,0.23487184047698975
104,log_barrier,0.003,200.0,0.97,8,True,True,0.1,200,32,201917,-48.4498788219564,-49.05998452117248,-548.1993663898087,0.21279559060931205
104,log_barrier,0.003,200.0,0.97,8,True,True,0.25,200,32,174305,-93.71341707517273,-71.18289937510167,-702.6124467158339,0.2416166551411152
104,log_barrier,0.003,200.0,0.97,8,True,True,0.5,200,32,154336,-136.3971667378766,-118.21516039812855,-962.5026138339347,0.2424299657344818
104,log_barrier,0.003,400.0,0.97,8,True,True,0.1,200,32,171808,-112.5796568684323,-85.61895561822942,-860.6391898394952,0.21282622814178467
104,log_barrier,0.003,400.0,0.97,8,True,True,0.25,200,32,159359,-144.30413283134425,-135.63771984119464,-1035.456164675562,0.24175994619727134
104,log_barrier,0.003,400.0,0.97,8,True,True,0.5,200,32,154908,-155.46277908390192,-147.07828547418973,-1044.8637024507043,0.24560030922293663
104,log_barrier,0.003,800.0,0.97,8,True,True,0.1,200,32,156023,-135.566558180068,-127.65017843806119,-835.5827384862382,0.21274764463305473
104,log_barrier,0.003,800.0,0.97,8,True,True,0.25,200,32,151775,-148.11626485508074,-131.10365440606046,-931.1735917711726,0.24289817214012147
104,log_barrier,0.003,800.0,0.97,8,True,True,0.5,200,32,151812,-166.48009230119413,-152.00632642442326,-801.8969180771164,0.2467549867928028
104,reward_only,0.003,0.0,0.99,4,True,False,0.25,200,32,80671,-108.7776111126014,-102.1068302472255,-851.761270642469,
104,reward_only,0.003,0.0,0.99,4,True,True,0.25,200,32,98344,-73.05165709251018,-59.97814604862574,-637.5666297018302,
104,reward_only,0.003,0.0,0.99,8,True,False,0.25,200,32,174208,-59.21129330535191,-50.780590133686204,-327.99770201904045,
