Update 0229/1200 | return 29.0811 | logdet -232.70 | lambda_min 8.577e-08 | 10.2s
Update 0230/1200 | return 28.4491 | logdet -227.82 | lambda_min 1.053e-07 | 10.4s
Update 0231/1200 | return 29.1353 | logdet -225.79 | lambda_min 1.089e-07 | 10.3s
Update 0232/1200 | return 29.7134 | logdet -229.26 | lambda_min 8.678e-08 | 10.4s
Update 0233/1200 | return 28.8976 | logdet -233.00 | lambda_min 1.404e-07 | 10.3s
Update 0234/1200 | return 28.7772 | logdet -230.08 | lambda_min 1.574e-07 | 10.4s
Update 0235/1200 | return 29.1733 | logdet -224.29 | lambda_min 8.228e-08 | 10.2s
Update 0236/1200 | return 29.3095 | logdet -234.95 | lambda_min 7.053e-08 | 10.3s
Update 0237/1200 | return 29.1814 | logdet -227.45 | lambda_min 1.032e-07 | 10.1s
Update 0238/1200 | return 29.4014 | logdet -224.42 | lambda_min 1.320e-07 | 10.2s
Update 0239/1200 | return 29.3698 | logdet -238.14 | lambda_min 8.162e-08 | 10.2s
Update 0240/1200 | return 28.7611 | logdet -231.14 | lambda_min 6.087e-08 | 10.3s
Update 0241/1200 | return 29.1505 | logdet -226.51 | lambda_min 7.540e-08 | 10.2s
Update 0242/1200 | return 29.2535 | logdet -232.46 | lambda_min 7.520e-08 | 11.0s
Update 0243/1200 | return 28.4981 | logdet -228.81 | lambda_min 1.088e-07 | 10.5s
Update 0244/1200 | return 29.1808 | logdet -237.01 | lambda_min 8.198e-08 | 10.5s
Update 0245/1200 | return 28.7512 | logdet -227.85 | lambda_min 1.523e-07 | 10.2s
Update 0246/1200 | return 29.8330 | logdet -234.02 | lambda_min 1.488e-07 | 10.2s
Update 0247/1200 | return 29.4445 | logdet -230.79 | lambda_min 1.126e-07 | 10.3s
Update 0248/1200 | return 28.6920 | logdet -230.35 | lambda_min 6.237e-08 | 10.2s
Update 0249/1200 | return 29.2168 | logdet -224.95 | lambda_min 1.324e-07 | 10.8s
Update 0250/1200 | return 29.9506 | logdet -238.83 | lambda_min 7.909e-08 | 10.2s
Update 0251/1200 | return 29.6216 | logdet -238.75 | lambda_min 6.339e-08 | 10.3s
Update 0252/1200 | return 29.8513 | logdet -233.16 | lambda_min 8.913e-08 | 10.2s
Update 0253/1200 | return 29.6492 | logdet -234.43 | lambda_min 7.106e-08 | 10.5s
Update 0254/1200 | return 29.6653 | logdet -234.38 | lambda_min 6.108e-08 | 10.5s
Update 0255/1200 | return 29.5978 | logdet -230.70 | lambda_min 1.137e-07 | 10.9s
Update 0256/1200 | return 29.3698 | logdet -233.86 | lambda_min 9.500e-08 | 10.0s
Update 0257/1200 | return 28.9018 | logdet -239.49 | lambda_min 6.968e-08 | 10.3s
Update 0258/1200 | return 29.8569 | logdet -231.00 | lambda_min 7.612e-08 | 10.3s
Update 0259/1200 | return 29.3065 | logdet -234.22 | lambda_min 5.741e-08 | 10.3s
Update 0260/1200 | return 29.5766 | logdet -239.99 | lambda_min 4.970e-08 | 10.3s
Update 0261/1200 | return 29.4243 | logdet -229.36 | lambda_min 9.309e-08 | 10.0s
Update 0262/1200 | return 29.6290 | logdet -230.44 | lambda_min 7.806e-08 | 10.2s
Update 0263/1200 | return 29.6125 | logdet -237.57 | lambda_min 8.774e-08 | 10.2s
Update 0264/1200 | return 29.8101 | logdet -230.51 | lambda_min 5.804e-08 | 10.2s
Update 0265/1200 | return 29.3085 | logdet -237.25 | lambda_min 4.709e-08 | 10.1s
Update 0266/1200 | return 30.0933 | logdet -231.74 | lambda_min 4.626e-08 | 10.1s
Update 0267/1200 | return 29.6091 | logdet -229.71 | lambda_min 8.561e-08 | 10.3s
Update 0268/1200 | return 29.7400 | logdet -233.94 | lambda_min 6.448e-08 | 10.3s
Update 0269/1200 | return 29.5523 | logdet -234.20 | lambda_min 5.103e-08 | 10.1s
Update 0270/1200 | return 29.6551 | logdet -238.27 | lambda_min 9.774e-08 | 10.2s
Update 0271/1200 | return 29.9663 | logdet -237.93 | lambda_min 8.309e-08 | 10.4s
Update 0272/1200 | return 29.7733 | logdet -236.50 | lambda_min 7.289e-08 | 10.3s
Update 0273/1200 | return 29.9105 | logdet -235.74 | lambda_min 4.415e-08 | 9.9s
Update 0274/1200 | return 28.9088 | logdet -239.73 | lambda_min 6.912e-08 | 10.3s
Update 0275/1200 | return 29.8465 | logdet -234.52 | lambda_min 7.573e-08 | 9.9s
Update 0276/1200 | return 29.2494 | logdet -245.17 | lambda_min 6.865e-08 | 10.2s
Update 0277/1200 | return 29.8284 | logdet -237.87 | lambda_min 5.789e-08 | 10.4s
Update 0278/1200 | return 29.8755 | logdet -240.15 | lambda_min 7.311e-08 | 10.4s
Update 0279/1200 | return 29.3566 | logdet -234.30 | lambda_min 5.896e-08 | 10.2s
Update 0280/1200 | return 29.6962 | logdet -228.26 | lambda_min 1.176e-07 | 10.4s
Update 0281/1200 | return 28.9049 | logdet -235.49 | lambda_min 9.095e-08 | 9.8s
Update 0282/1200 | return 29.7830 | logdet -241.25 | lambda_min 5.100e-08 | 10.2s
Update 0283/1200 | return 29.3875 | logdet -227.88 | lambda_min 9.084e-08 | 10.5s
Update 0284/1200 | return 30.1332 | logdet -236.84 | lambda_min 1.097e-07 | 10.3s
Update 0285/1200 | return 29.7305 | logdet -227.87 | lambda_min 8.608e-08 | 10.0s
Update 0286/1200 | return 29.9944 | logdet -233.14 | lambda_min 9.664e-08 | 10.1s
Update 0287/1200 | return 29.5240 | logdet -236.93 | lambda_min 7.243e-08 | 10.2s
Update 0288/1200 | return 28.9832 | logdet -238.30 | lambda_min 7.520e-08 | 10.0s
Update 0289/1200 | return 29.6035 | logdet -229.29 | lambda_min 9.767e-08 | 10.0s
Update 0290/1200 | return 29.6938 | logdet -232.73 | lambda_min 4.996e-08 | 10.3s
Update 0291/1200 | return 29.7674 | logdet -224.52 | lambda_min 1.272e-07 | 10.2s
Update 0292/1200 | return 29.5012 | logdet -231.24 | lambda_min 8.999e-08 | 10.4s
Update 0293/1200 | return 29.2832 | logdet -231.90 | lambda_min 6.203e-08 | 10.2s
Update 0294/1200 | return 29.3871 | logdet -227.87 | lambda_min 9.913e-08 | 10.3s
Update 0295/1200 | return 29.8513 | logdet -227.20 | lambda_min 7.052e-08 | 10.3s
Update 0296/1200 | return 29.4632 | logdet -224.95 | lambda_min 5.123e-08 | 10.3s
Update 0297/1200 | return 30.4357 | logdet -224.27 | lambda_min 1.086e-07 | 10.3s
